Name,English,Translation,Restrictions,Comment
_Language,French,French,,Language name - in English
_LanguageNative,French,Français,,Language name in the native language
_LanguageCode,fr,fr,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
Splash_Done,Done.,Terminé.,,Finished loading
Splash_Loading,Loading....,Chargement en cours ...,,Generic loading text
Splash_WaitingNetwork,Checking Network...,Vérification du réseau...,,Network step
Splash_LoadingLanguages,Loading Languages...,Chargement des langages en cours ...,,Loading the languages prefix
Splash_LoadingPlugins,Loading Plugins...,Chargement des plugins en cours ...,,Loading the plugins
Splash_LoadingPrefs,Loading Preferences...,Chargement des préférences en cours ...,,Loading the preferences
Splash_UserLogin,User Login,Identifiant utilisateur,,User Login has been started
Notifications_Hub,Notification Hub,Hub de notification,,Notification Hub string
IDEMenu_File,File,Fichier,,The File menu item name
IDEMenu_Edit,Edit,Modifier,,The Edit menu item name
IDEMenu_Build,Build,Construire,,"File menu ""Build"""
IDEMenu_Views,${IDEMenuViews},${IDEMenuViews},,Main menu entry for views
$win_IDEMenuViews,Windows,Fenêtres,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Fenêtre,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
IDEMenu_Tools,Tools,Outils,,Main menu entry for tools
IDEMenu_Layouts,Layouts,Mises en page,,Layouts
IDEMenu_Marketplace,Marketplace,Marché,,Main menu entry for marketplace
IDEMenu_Help,Help,Aide,,Main menu entry for HELP
IDETooltip_LaptopMode_On,On,Allumé,,On text
IDETooltip_LaptopMode_Off,Off,Éteint,,Off text
IDETooltip_LaptopMode_Description,"In Laptop Mode you can pan, scroll and zoom by moving the mouse over an area\nwhile holding ${LaptopLZoomKey} to zoom and Left Alt to pan and scroll.\nUse ${LaptopRHSKeys} for non-mouse interactions while Laptop Mode is enabled.","En mode Ordinateur portable, vous pouvez effectuer un panoramique, défiler et zoomer en déplaçant la souris sur une zone \ntout en maintenant les touches ${LaptopLZoomKey} pour zoomer et Alt gauche pour défiler. \nUtilisez ${LaptopRHSKeys} pour les interactions sans souris lorsque le mode Ordinateur portable est activé.",,IDE toolbar laptop mode description
IDETooltip_LaptopMode_Title,Laptop Mode ({0}),Mode ordinateur portable ({0}),,IDE toolbar laptop mode title
StartPage_Title,Start Page,Page de démarrage,,Start page title
IDE_FatalErrorTitle,Fatal Error,Erreur fatale,,Title for the fatal error warning dialog
IDE_FatalErrorWarning,GameMaker has become unstable.\nPlease save changes and exit.,GameMaker est devenu instable.\nVeuillez enregistrer les modifications et quitter.,,Warn the user they should try saving changes and exit
IDE_Warning,Warning,Avertissement,,Warning for IDE
IDE_FolderPermsWarning,GameMaker is unable to access vital system folders.\nPlease check your paths in preferences and verify your folder permissions or contact your system administrator.\n\n{0},GameMaker ne peut pas accéder aux dossiers système vitaux.\nVeuillez vérifier vos chemins d'accès dans les préférences et vérifier vos autorisations de dossier ou contacter votre administrateur système.\n\n {0},,File permissions failure on startup
Button_OK,OK,OK,,ok button
Button_Yes,Yes,Oui,,Yes
Button_No,No,Non,,No
Dialog_CopyToClipboard,Copy to clipboard,Copier dans le presse-papier,,Copy the dialog message to the clipboard
IDE_VersionInfo,{1} IDE v{0},{1} IDE v{0},,the ide version information string
IDE_SteamVersionInfo,{1} IDE v{0} Steam,{1} IDE v{0} Steam,,the ide version information string when running from steam
UpdateDialogDownloadNow,Download now,Télécharger maintenant,,Update new version dialog - download now button
UpdateDialogRemindMe,Remind me later,Rappelez-moi plus tard,,Update new version dialog - remind me later button
UpdateDialogLabel,New version is available! \nYou are on v{0}\nNew version is {1},Une nouvelle version est disponible ! \nVous utilisez v{0}\nLa nouvelle version est {1},,Update new version dialog - tell user which version they are on and which version update will take them to
UpdateDialogReleaseNotes,View Release notes,Consulter les notes de version,,Update new version dialog - view release notes button
UpdateDialogTitle,New Version,Nouvelle version,,Update new version dialog title
RSS_Download_Exception,Could not reach the RSS feed,Impossible d’accéder au flux RSS,,A message which is shown when the RSS feed is not accessible
Splash_CheckingRSS,Checking RSS...,Vérification du RSS ...,,Checking RSS...
Dialog_Confirm,Confirm,Confirmer,,"Dialog ""confirm"" heading"
Dialog_DontShowAgain,Don't show this message again,Ne plus afficher ce message,,Message next to checkbox to allow the user to choose not to see this popup in future
Runtime_Installing_Version,Installing runtime {0},Installation de l'environnement d'exécution {0},,user facing splash screen message for installing runtime
ImageEditor_SelectAll,Select All,Tout sélectionner,,Image editor select all menu option
Button_Cancel,Cancel,Annuler,,cancel button
TargetSelection_Platform_Test,Test,Test,,the teset platform title in the platform selection list
TargetSelection_Platform_android,Android,Android,,the android platform title in the platform selection list
TargetSelection_Platform_HTML5,HTML5,HTML5,,the html5 platform title in the platform selection list
TargetSelection_Platform_Linux,Ubuntu,Ubuntu,,the linux platform title in the platform selection list
TargetSelection_Platform_operagx,GX.games,GX.games,DO NOT TRANSLATE,the opera gx platform title in the platform selection list
TargetSelection_Platform_ps4,PlayStation 4,PlayStation 4,,the ps4 platform title in the platform selection list
TargetSelection_Platform_ps5,PlayStation 5,PlayStation 5,,the ps5 platform title in the platform selection list
TargetSelection_Platform_switch,Switch,Switch,DO NOT TRANSLATE,Switch
TargetSelection_Platform_Windows,Windows,Windows,,the windows platform title in the platform selection list
TargetSelection_Platform_xboxseriesxs,Xbox One & Series X/S,Xbox One & Series X/S,DO NOT TRANSLATE,the Xbox One & Series X/S platform title in the platform selection list
TargetSelection_Platform_Mac,macOS,macOS,,the mac platform title in the platform selection list
TargetSelection_Platform_ios,iOS,iOS,,the apple iOS platform title in the platform selection list
TargetSelection_Platform_tvos,tvOS,tvOS,DO NOT TRANSLATE,the apple tvOS platform title in the platform selection list
ProgressBar_Install,Installing...,Installation en cours ...,,the progress bar caption while installing
DialogEditor_Error,Error,Erreur,,dialog editor error box title
UserLogin_Exception,Exception - {0},Exception - {0},,exception error
UserLogin_ServerError,Error ({0}) - {1},Erreur ({0}) - {1},,server response error
UserLogin_Retry,Retry,Recommencer,,User Login - Error Retry
UserLogin_NoRuntime,Unable to access the Runtime Feed and no local Runtime installed. Please check your internet connection and start GameMaker again.,Impossible d'accéder au flux runtime et aucun runtime installé. Vérifiez votre connexion Internet et relancez GameMaker.,,user login no runtime message
UserLogin_InstallRuntimeTitle,Install Runtime {0},Installer le runtime {0},,install runtime title
UserLogin_RuntimeSpaceWarningMessage,Destination drive {0} has only {1} GB free space available.\nAt least 2 GB of free space is recommended - please ensure there is enough free space available before proceeding.,Le disque de destination {0} n'a que {1} Go d'espace libre. \nNous recommandons au moins 2 Go d'espace libre. Vérifiez que vous avez suffisamment de place avant de continuer.,,runtime free space warning message
UserLogin_Continue,Continue,Continuer,,continue label
UserLogin_MaxDevice,Maximum logins exceeded \nYou can manage your account sessions at accounts.yoyogames.com,Le nombre maximal de connexions est dépassé \nVous pouvez gérer vos sessions de compte sur accounts.yoyogames.com,,User Login Error response 29
User_OK,OK,OK,,User Login - two step authentication ok button
runtime_selection,Runtime Selection,Sélection de l'environnement d'exécution,,Runtime Selection Window title
runtime_onstartup_change,Do you want to change your current runtime to the matching IDE version {0}?,Voulez-vous changer votre moteur d'exécution actuel pour la version correspondante de l'IDE {0} ?,,Change current runtime to the version matching the IDE
UserLogin_OfflineError,Unable to take user offline,Impossible pour l'utilisateur d’aller hors ligne,,offline error
IDETooltip_Notifications,Notifications,Notifications,,IDE toolbar notifications tooltip
runtime_dns_ResolvingFailed,DNS resolving has failed,Échec de la résolution DNS,,A title of the warning which is shown when after the IDE failed to resolve an address against an alternative DNS
runtime_dns_ResolvingFailedMessage,Could not resolve {0} with an alternative DNS. A system DNS has been used,Impossible de résoudre {0} avec un DNS alternatif. Un système DNS a été utilisé,,Could not use an alternative DNS
