Name,English,Translation,Restrictions,Comment
_Language,German,German,,Language name - in English
_LanguageNative,German,Deutsche,,Language name in the native language
_LanguageCode,de,de,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
Splash_Done,Done.,Fertig.,,Finished loading
Splash_Loading,Loading....,Wird geladen ...,,Generic loading text
Splash_WaitingNetwork,Checking Network...,Netzwerk überprüfen ...,,Network step
Splash_LoadingLanguages,Loading Languages...,Sprachen werden geladen ...,,Loading the languages prefix
Splash_LoadingPlugins,Loading Plugins...,Plugins werden geladen ...,,Loading the plugins
Splash_LoadingPrefs,Loading Preferences...,Voreinstellungen werden geladen ...,,Loading the preferences
Splash_UserLogin,User Login,Benutzeranmeldung,,User Login has been started
Notifications_Hub,Notification Hub,Benachrichtigungs-Hub,,Notification Hub string
IDEMenu_File,File,Datei,,The File menu item name
IDEMenu_Edit,Edit,Bearbeiten,,The Edit menu item name
IDEMenu_Build,Build,Kompilieren,,"File menu ""Build"""
IDEMenu_Views,${IDEMenuViews},${IDEMenuViews},,Main menu entry for views
$win_IDEMenuViews,Windows,Fenster,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Fenster,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Fenster,,Linux version of the views menu entry
IDEMenu_Tools,Tools,Extras,,Main menu entry for tools
IDEMenu_Layouts,Layouts,Layouts,,Layouts
IDEMenu_Marketplace,Marketplace,Marketplace,,Main menu entry for marketplace
IDEMenu_Help,Help,Hilfe,,Main menu entry for HELP
IDETooltip_LaptopMode_On,On,Ein,,On text
IDETooltip_LaptopMode_Off,Off,Aus,,Off text
