Name,English,Translation,Restrictions,Comment
_Language,Japanese,Japanese,,Language name - in English
_LanguageNative,Japanese,日本語,,Language name in the native language
_LanguageCode,en,ja,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
Splash_Done,Done.,完了しました。,,Finished loading
Splash_Loading,Loading....,ロードしています...,,Generic loading text
Splash_WaitingNetwork,Checking Network...,ネットワークを確認中です...,,Network step
Splash_LoadingLanguages,Loading Languages...,言語を読み込んでいます...,,Loading the languages prefix
Splash_LoadingPlugins,Loading Plugins...,プラグインをロードしています...,,Loading the plugins
Splash_LoadingPrefs,Loading Preferences...,環境設定を読み込んでいます...,,Loading the preferences
Splash_UserLogin,User Login,ユーザーログイン,,User Login has been started
Notifications_Hub,Notification Hub,通知ハブ,,Notification Hub string
IDEMenu_File,File,ファイル,,The File menu item name
IDEMenu_Edit,Edit,編集,,The Edit menu item name
IDEMenu_Build,Build,ビルド,,"File menu ""Build"""
IDEMenu_Views,${IDEMenuViews},${IDEMenuViews},,Main menu entry for views
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,ウィンドウ,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
IDEMenu_Tools,Tools,ツール,,Main menu entry for tools
IDEMenu_Layouts,Layouts,レイアウト,,Layouts
IDEMenu_Marketplace,Marketplace,Marketplace,,Main menu entry for marketplace
IDEMenu_Help,Help,ヘルプ,,Main menu entry for HELP
IDETooltip_LaptopMode_On,On,オン,,On text
IDETooltip_LaptopMode_Off,Off,オフ,,Off text
IDETooltip_LaptopMode_Description,"In Laptop Mode you can pan, scroll and zoom by moving the mouse over an area\nwhile holding ${LaptopLZoomKey} to zoom and Left Alt to pan and scroll.\nUse ${LaptopRHSKeys} for non-mouse interactions while Laptop Mode is enabled.",ラップトップモードでは、マウスをかざして動かすことで、パン、スクロール、およびズームできます。\nズームするには ${LaptopLZoomKey} を押さえながら、パンおよびスクロールするには左 Alt を押さえながら、マウスを動かします。\nラップトップモードの間、マウス以外の操作には ${LaptopRHSKeys} を使用してください。,,IDE toolbar laptop mode description
IDETooltip_LaptopMode_Title,Laptop Mode ({0}),ラップトップモード ({0}),,IDE toolbar laptop mode title
StartPage_Title,Start Page,トップページ,,Start page title
IDE_FatalErrorTitle,Fatal Error,重大エラー,,Title for the fatal error warning dialog
IDE_FatalErrorWarning,GameMaker has become unstable.\nPlease save changes and exit.,GameMaker が不安定になりました。\n変更を保存して終了してください。,,Warn the user they should try saving changes and exit
IDE_Warning,Warning,警告,,Warning for IDE
