Name,English,Translation,Restrictions,Comment
_Language,Korean,Korean,,Language name - in English
_LanguageNative,Korean,한국어,,Language name in the native language
_LanguageCode,ko,ko,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
Splash_Done,Done.,완료되었습니다.,,Finished loading
Splash_Loading,Loading....,로드 중...,,Generic loading text
Splash_WaitingNetwork,Checking Network...,네트워크 확인 중...,,Network step
Splash_LoadingLanguages,Loading Languages...,언어 로드 중...,,Loading the languages prefix
Splash_LoadingPlugins,Loading Plugins...,플러그인 로드 중...,,Loading the plugins
Splash_LoadingPrefs,Loading Preferences...,환경 설정 로드 중...,,Loading the preferences
Splash_UserLogin,User Login,사용자 로그인,,User Login has been started
Notifications_Hub,Notification Hub,알림 허브,,Notification Hub string
IDEMenu_File,File,파일,,The File menu item name
IDEMenu_Edit,Edit,편집,,The Edit menu item name
IDEMenu_Build,Build,빌드,,"File menu ""Build"""
IDEMenu_Views,${IDEMenuViews},${IDEMenuViews},,Main menu entry for views
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,윈도우,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
IDEMenu_Tools,Tools,도구,,Main menu entry for tools
IDEMenu_Layouts,Layouts,레이아웃,,Layouts
IDEMenu_Marketplace,Marketplace,마켓플레이스,,Main menu entry for marketplace
IDEMenu_Help,Help,도움말,,Main menu entry for HELP
IDETooltip_LaptopMode_On,On,켜기,,On text
IDETooltip_LaptopMode_Off,Off,끄기,,Off text
IDETooltip_LaptopMode_Description,"In Laptop Mode you can pan, scroll and zoom by moving the mouse over an area\nwhile holding ${LaptopLZoomKey} to zoom and Left Alt to pan and scroll.\nUse ${LaptopRHSKeys} for non-mouse interactions while Laptop Mode is enabled.","노트북 모드에서는 영역 위의 마우스 커서를 이동하여 이동, 스크롤, 확대/축소할 수 있습니다.\n${LaptopLZoomKey}을(를) 누르면 확대/축소하고, 왼쪽 Alt를 누르면 이동 및 스크롤할 수 있습니다.\n노트북 모드를 사용 중인 경우 마우스 이외의 상호작용에는 ${LaptopRHSKeys}을(를) 사용하십시오.",,IDE toolbar laptop mode description
IDETooltip_LaptopMode_Title,Laptop Mode ({0}),노트북 모드({0}),,IDE toolbar laptop mode title
StartPage_Title,Start Page,시작 페이지,,Start page title
IDE_FatalErrorTitle,Fatal Error,심각한 오류,,Title for the fatal error warning dialog
IDE_FatalErrorWarning,GameMaker has become unstable.\nPlease save changes and exit.,GameMaker가 불안정합니다.\n변경 사항을 저장한 후 종료하십시오.,,Warn the user they should try saving changes and exit
IDE_Warning,Warning,주의,,Warning for IDE
IDE_FolderPermsWarning,GameMaker is unable to access vital system folders.\nPlease check your paths in preferences and verify your folder permissions or contact your system administrator.\n\n{0},GameMaker가 중요한 시스템 폴더에 액세스할 수 없습니다.\n환경 설정에서 경로를 확인하고 폴더 권한을 확인하거나 시스템 관리자에게 문의하십시오.\n\n{0},,File permissions failure on startup
Button_OK,OK,확인,,ok button
Button_Yes,Yes,예,,Yes
