Name,English,Translation,Restrictions,Comment
_Language,Brazilian Portuguese,Brazilian Portuguese,,Language name - in English
_LanguageNative,Brazilian Portuguese,Português do Brasil,,Language name in the native language
_LanguageCode,pt-br,pt-br,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
Splash_Done,Done.,Concluído.,,Finished loading
Splash_Loading,Loading....,Carregando...,,Generic loading text
Splash_WaitingNetwork,Checking Network...,Verificando Rede...,,Network step
Splash_LoadingLanguages,Loading Languages...,Carregando idiomas...,,Loading the languages prefix
Splash_LoadingPlugins,Loading Plugins...,Carregando plug-ins...,,Loading the plugins
Splash_LoadingPrefs,Loading Preferences...,Carregando preferências...,,Loading the preferences
Splash_UserLogin,User Login,Login do usuário,,User Login has been started
Notifications_Hub,Notification Hub,Hub de notificações,,Notification Hub string
IDEMenu_File,File,Arquivo,,The File menu item name
IDEMenu_Edit,Edit,Editar,,The Edit menu item name
IDEMenu_Build,Build,Compilar,,"File menu ""Build"""
IDEMenu_Views,${IDEMenuViews},${IDEMenuViews},,Main menu entry for views
$win_IDEMenuViews,Windows,Windows,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Janela,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
IDEMenu_Tools,Tools,Ferramentas,,Main menu entry for tools
IDEMenu_Layouts,Layouts,Layouts,,Layouts
IDEMenu_Marketplace,Marketplace,Marketplace,,Main menu entry for marketplace
IDEMenu_Help,Help,Ajuda,,Main menu entry for HELP
IDETooltip_LaptopMode_On,On,Ativar,,On text
IDETooltip_LaptopMode_Off,Off,Desativar,,Off text
IDETooltip_LaptopMode_Description,"In Laptop Mode you can pan, scroll and zoom by moving the mouse over an area\nwhile holding ${LaptopLZoomKey} to zoom and Left Alt to pan and scroll.\nUse ${LaptopRHSKeys} for non-mouse interactions while Laptop Mode is enabled.","No modo Laptop, você pode deslocar, rolar e ampliar movendo o mouse sobre uma área,\n enquanto mantém pressionado ${LaptopLZoomKey} para ampliar e Alt esquerdo para deslocar e rolar.\nUsar ${LaptopRHSKeys} para interações sem mouse, enquanto o Modo Laptop está ativado.",,IDE toolbar laptop mode description
IDETooltip_LaptopMode_Title,Laptop Mode ({0}),Modo laptop ({0}),,IDE toolbar laptop mode title
StartPage_Title,Start Page,Página inicial,,Start page title
IDE_FatalErrorTitle,Fatal Error,Erro fatal,,Title for the fatal error warning dialog
IDE_FatalErrorWarning,GameMaker has become unstable.\nPlease save changes and exit.,O GameMaker se tornou instável.\nSalve as alterações e saia.,,Warn the user they should try saving changes and exit
IDE_Warning,Warning,Aviso,,Warning for IDE
IDE_FolderPermsWarning,GameMaker is unable to access vital system folders.\nPlease check your paths in preferences and verify your folder permissions or contact your system administrator.\n\n{0},O GameMaker não pode acessar pastas fundamentais do sistema.\nConfira seus caminhas nas preferências e verifique suas permissões de pasta ou entre em contato com o administrador do sistema.\n\n{0},,File permissions failure on startup
Button_OK,OK,OK,,ok button
Button_Yes,Yes,Sim,,Yes
Button_No,No,Não,,No
Dialog_CopyToClipboard,Copy to clipboard,Copiar para área de transferência,,Copy the dialog message to the clipboard
IDE_VersionInfo,{1} IDE v{0},{1} IDE v{0},,the ide version information string
IDE_SteamVersionInfo,{1} IDE v{0} Steam,{1} IDE v{0} Steam,,the ide version information string when running from steam
UpdateDialogDownloadNow,Download now,Baixar agora,,Update new version dialog - download now button
UpdateDialogRemindMe,Remind me later,Lembrar novamente mais tarde,,Update new version dialog - remind me later button
UpdateDialogLabel,New version is available! \nYou are on v{0}\nNew version is {1},A nova versão está disponível! \nVocê tem a v{0}\nA nova versão é {1},,Update new version dialog - tell user which version they are on and which version update will take them to
UpdateDialogReleaseNotes,View Release notes,Visualizar notas sobre a versão,,Update new version dialog - view release notes button
UpdateDialogTitle,New Version,Nova versão,,Update new version dialog title
RSS_Download_Exception,Could not reach the RSS feed,Não foi possível alcançar o feed RSS,,A message which is shown when the RSS feed is not accessible
Splash_CheckingRSS,Checking RSS...,Verificando RSS...,,Checking RSS...
Dialog_Confirm,Confirm,Confirmar,,"Dialog ""confirm"" heading"
Dialog_DontShowAgain,Don't show this message again,Não mostrar esta mensagem novamente,,Message next to checkbox to allow the user to choose not to see this popup in future
Runtime_Installing_Version,Installing runtime {0},Instalando runtime {0},,user facing splash screen message for installing runtime
ImageEditor_SelectAll,Select All,Selecionar tudo,,Image editor select all menu option
Button_Cancel,Cancel,Cancelar,,cancel button
TargetSelection_Platform_Test,Test,Testar,,the teset platform title in the platform selection list
TargetSelection_Platform_android,Android,Android,DO NOT TRANSLATE,the android platform title in the platform selection list
TargetSelection_Platform_HTML5,HTML5,HTML5,DO NOT TRANSLATE,the html5 platform title in the platform selection list
TargetSelection_Platform_Linux,Ubuntu,Ubuntu,DO NOT TRANSLATE,the linux platform title in the platform selection list
TargetSelection_Platform_operagx,GX.games,GX.games,DO NOT TRANSLATE,the opera gx platform title in the platform selection list
TargetSelection_Platform_ps4,PlayStation 4,PlayStation 4,,the ps4 platform title in the platform selection list
TargetSelection_Platform_ps5,PlayStation 5,PlayStation 5,,the ps5 platform title in the platform selection list
TargetSelection_Platform_switch,Switch,Switch,DO NOT TRANSLATE,Switch
