Name,English,Translation,Restrictions,Comment
_Language,Spanish,Spanish,,Language name - in English
_LanguageNative,Spanish,Español,,Language name in the native language
_LanguageCode,es,es,,standard windows os language code this pack represents (can be primary code only ie. en or primary-secondary ie. en-GB)
_GameMaker2016,GameMaker,GameMaker,,IDE title
Splash_Done,Done.,Hecho.,,Finished loading
Splash_Loading,Loading....,Cargando...,,Generic loading text
Splash_WaitingNetwork,Checking Network...,Comprobando la red...,,Network step
Splash_LoadingLanguages,Loading Languages...,Cargando idiomas...,,Loading the languages prefix
Splash_LoadingPlugins,Loading Plugins...,Cargando plugins...,,Loading the plugins
Splash_LoadingPrefs,Loading Preferences...,Cargando preferencias...,,Loading the preferences
Splash_UserLogin,User Login,Inicio de sesión de usuario,,User Login has been started
Notifications_Hub,Notification Hub,Centro de notificaciones,,Notification Hub string
IDEMenu_File,File,Archivo,,The File menu item name
IDEMenu_Edit,Edit,Editar,,The Edit menu item name
IDEMenu_Build,Build,Construir,,"File menu ""Build"""
IDEMenu_Views,${IDEMenuViews},${IDEMenuViews},,Main menu entry for views
$win_IDEMenuViews,Windows,Ventanas,,Windows version of the views menu entry
$mac_IDEMenuViews,Window,Ventana,,Mac version of the views menu entry
$linux_IDEMenuViews,Windows,Windows,,Linux version of the views menu entry
IDEMenu_Tools,Tools,Herramientas,,Main menu entry for tools
IDEMenu_Layouts,Layouts,Diseños,,Layouts
IDEMenu_Marketplace,Marketplace,Mercado,,Main menu entry for marketplace
IDEMenu_Help,Help,Ayuda,,Main menu entry for HELP
IDETooltip_LaptopMode_On,On,Activar,,On text
IDETooltip_LaptopMode_Off,Off,Desactivar,,Off text
IDETooltip_LaptopMode_Description,"In Laptop Mode you can pan, scroll and zoom by moving the mouse over an area\nwhile holding ${LaptopLZoomKey} to zoom and Left Alt to pan and scroll.\nUse ${LaptopRHSKeys} for non-mouse interactions while Laptop Mode is enabled.","En el modo portátil puede agrandar, desplazar y usar el zoom moviendo el ratón sobre una zona\nmientras pulsa ${LaptopLZoomKey} para usar el zoom y Alt izquierdo para agrandar y desplazar.\nUse ${LaptopRHSKeys} para las interacciones sin ratón cuando el modo portátil esté activado.",,IDE toolbar laptop mode description
IDETooltip_LaptopMode_Title,Laptop Mode ({0}),Modo portátil ({0}),,IDE toolbar laptop mode title
StartPage_Title,Start Page,Página de inicio,,Start page title
IDE_FatalErrorTitle,Fatal Error,Error fatal,,Title for the fatal error warning dialog
IDE_FatalErrorWarning,GameMaker has become unstable.\nPlease save changes and exit.,GameMaker se ha vuelto inestable.\nGuarde los cambios y salga.,,Warn the user they should try saving changes and exit
IDE_Warning,Warning,Aviso,,Warning for IDE
